0.5,0.25
0.25,0.5
0.75,0.75
0.125,0.0625
0.625,0.3125
0.375,0.5625
0.875,0.8125
0.0625,0.125
0.5625,0.375
0.3125,0.625
0.8125,0.875
0.1875,0.1875
0.6875,0.4375
0.4375,0.6875
0.9375,0.9375
0.03125,0.015625
0.53125,0.265625
0.28125,0.515625
0.78125,0.765625
0.15625,0.078125
0.65625,0.328125
0.40625,0.578125
0.90625,0.828125
0.09375,0.140625
0.59375,0.390625
0.34375,0.640625
0.84375,0.890625
0.21875,0.203125
0.71875,0.453125
0.46875,0.703125
0.96875,0.953125
0.015625,0.03125
0.515625,0.28125
0.265625,0.53125
0.765625,0.78125
0.140625,0.09375
0.640625,0.34375
0.390625,0.59375
0.890625,0.84375
0.078125,0.15625
0.578125,0.40625
0.328125,0.65625
0.828125,0.90625
0.203125,0.21875
0.703125,0.46875
0.453125,0.71875
0.953125,0.96875
0.046875,0.046875
0.546875,0.296875
0.296875,0.546875
0.796875,0.796875
0.171875,0.109375
0.671875,0.359375
0.421875,0.609375
0.921875,0.859375
0.109375,0.171875
0.609375,0.421875
0.359375,0.671875
0.859375,0.921875
0.234375,0.234375
0.734375,0.484375
0.484375,0.734375
0.984375,0.984375
0.0078125,0.00390625
0.507813,0.253906
0.257813,0.503906
0.757813,0.753906
0.132813,0.0664063
0.632813,0.316406
0.382813,0.566406
0.882813,0.816406
0.0703125,0.128906
0.570313,0.378906
0.320313,0.628906
0.820313,0.878906
0.195313,0.191406
0.695313,0.441406
0.445313,0.691406
0.945313,0.941406
0.0390625,0.0195313
0.539063,0.269531
0.289063,0.519531
0.789063,0.769531
0.164063,0.0820313
0.664063,0.332031
0.414063,0.582031
0.914063,0.832031
0.101563,0.144531
0.601563,0.394531
0.351563,0.644531
0.851563,0.894531
0.226563,0.207031
0.726563,0.457031
0.476563,0.707031
0.976563,0.957031
0.0234375,0.0351563
0.523438,0.285156
0.273438,0.535156
0.773438,0.785156
0.148438,0.0976563
